title,source_url,type,work_role,difficulty,is_free,description
"ISC2 Certified in Cybersecurity (CC) - Free Training","https://www.isc2.org/certifications/cc","Certification","Security Analyst","Beginner",true,"Free entry-level cybersecurity certification program"
"CISA Learning Platform","https://www.cisa.gov/learning","Platform","Security Analyst","Beginner",true,"Government-backed cybersecurity training platform"
"Google Cybersecurity Certificate on Coursera","https://www.coursera.org/professional-certificates/google-cybersecurity","Certification","Security Analyst","Beginner",true,"Beginner-friendly professional cybersecurity certificate"
"CompTIA Security+ Certification Training","https://www.comptia.org/certifications/security","Certification","Security Analyst","Intermediate",false,"Premier global cybersecurity certification"
"Cybrary Career Paths","https://www.cybrary.it/career-path","Platform","Security Analyst","Beginner",true,"Structured cybersecurity training with curated paths"
"SANS Cyber Aces","https://www.sans.org/cyberaces/","Platform","Security Analyst","Beginner",true,"Free community cybersecurity resources"
"EC-Council Information Security Analyst Professional Certificate","https://www.eccouncil.org/","Certification","Security Analyst","Intermediate",false,"5-course series with hands-on labs"
"IBM Cybersecurity Analyst Professional Certificate","https://www.coursera.org/professional-certificates/ibm-cybersecurity-analyst","Certification","Security Analyst","Intermediate",false,"14-course cybersecurity series"
"LetsDefend SOC Training Platform","https://letsdefend.io/","Platform","Security Analyst","Intermediate",true,"Real-world SOC scenarios training"
"CompTIA CySA+ Certification","https://www.comptia.org/certifications/cybersecurity-analyst","Certification","Security Analyst","Intermediate",false,"Behavioral analytics focused certification"
"Microsoft Learn Security Engineer Path","https://learn.microsoft.com/en-us/training/paths/security-engineer/","Course","Cybersecurity Engineer","Beginner",true,"Microsoft security technologies training"
"Cloud Security Alliance (CSA) Training","https://cloudsecurityalliance.org/education/","Course","Cybersecurity Engineer","Beginner",true,"Free cloud security courses"
"Fullstack Academy Cybersecurity Bootcamp","https://www.fullstackacademy.com/programs/cybersecurity-bootcamp","Bootcamp","Cybersecurity Engineer","Beginner",false,"Intensive hands-on cybersecurity bootcamp"
"CompTIA Network+ Certification","https://www.comptia.org/certifications/network","Certification","Cybersecurity Engineer","Beginner",false,"Network infrastructure fundamentals"
"CISA Critical Infrastructure Training","https://www.cisa.gov/critical-infrastructure-training","Training","Cybersecurity Engineer","Intermediate",true,"Critical infrastructure security courses"
